position,title,placeId,dataId,thumbnail,phone,address,website,description,workingHours,rating,reviews,type,gpsCoordinates,serviceOptions,longitude,latitude,area
2,Moonlite Cafe,ChIJt1-O1Tr3NIgRuWJRAaD-mmc,0x8834f73ad58e5fb7:0x679afea0015162b9,https://lh5.googleusercontent.com/p/AF1QipNDOsZtxi9v6SCmhFAi_cf9Eem20AUy17o9hhwA=w80-h106-k-no,(412) 531-2811,"530 Brookline Blvd, Pittsburgh, PA 15226",http://www.moonlitecafe.com/,"Humble haunt for Italian eats & pool. Chill hangout with pool tables for burgers, Italian sandwiches & red-sauce dishes, plus draft beer.","{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '11\u202fAM–2\u202fAM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '11\u202fAM–2\u202fAM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '11\u202fAM–2\u202fAM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '11\u202fAM–2\u202fAM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '11\u202fAM–2\u202fAM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '11\u202fAM–2\u202fAM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '11\u202fAM–2\u202fAM', 'date': '2023-10-18'}]}",4.6,469.0,American restaurant,"{'latitude': 40.395551399999995, 'longitude': -80.02280499999999}","['Takeout', 'Dine-in', 'Delivery']",-80.02280499999999,40.395551399999995,brookline
3,Jolina's Mediterranean Cuisine,ChIJPVFI4jD3NIgR5Jo9EvY00m8,0x8834f730e248513d:0x6fd234f6123d9ae4,https://lh5.googleusercontent.com/p/AF1QipPKRsqq99Gzh_8oihbfQd1uwZvBTHx_PsvAbJFk=w122-h92-k-no,(412) 341-3333,"1011 Brookline Blvd, Pittsburgh, PA 15226",https://www.jolinasonline.com/,,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '11\u202fAM–8:30\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '11\u202fAM–9:30\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '11\u202fAM–9:30\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': 'Closed', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '11\u202fAM–8:30\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '11\u202fAM–8:30\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '11\u202fAM–8:30\u202fPM', 'date': '2023-10-18'}]}",4.7,229.0,Mediterranean restaurant,"{'latitude': 40.3921278, 'longitude': -80.0172884}","['Delivery', 'Takeout', 'Dine-in']",-80.0172884,40.3921278,brookline
4,Pitaland,ChIJS5rmxDr3NIgRUf_lWo0F_AU,0x8834f73ac4e69a4b:0x5fc058d5ae5ff51,https://lh5.googleusercontent.com/p/AF1QipN2EUHIW9USgdMQ5_Ohtd5wpw5dhPwudcoJM3AF=w122-h92-k-no,(412) 531-5040,"620 Brookline Blvd, Pittsburgh, PA 15226",http://pitaland.com/,,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '8\u202fAM–7\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '8\u202fAM–7\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '8\u202fAM–7\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '10\u202fAM–4\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '8\u202fAM–7\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '8\u202fAM–7\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '8\u202fAM–7\u202fPM', 'date': '2023-10-18'}]}",4.8,1358.0,Bakery,"{'latitude': 40.394856499999996, 'longitude': -80.0221186}","['Delivery', 'In-store pickup', 'In-store shopping', 'Takeout', 'Dine-in']",-80.0221186,40.394856499999996,brookline
5,El Botanero Insomnia Mexican Bar And Grill,ChIJpX3obmv3NIgRYZ-5nea98no,0x8834f76b6ee87da5:0x7af2bde69db99f61,https://lh5.googleusercontent.com/p/AF1QipNQdlRC2urhW9hq_7H52SQKngOdcwvWgNLlzWI=w122-h92-k-no,,"810 A Brookline Blvd, Pittsburgh, PA 15226",undefined,,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '11\u202fAM–1:30\u202fAM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '11\u202fAM–10\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '11\u202fAM–10\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '11\u202fAM–9\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '11\u202fAM–10\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '11\u202fAM–10\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '11\u202fAM–10\u202fPM', 'date': '2023-10-18'}]}",2.5,8.0,Mexican restaurant,"{'latitude': 40.393386899999996, 'longitude': -80.0197731}","['Delivery', 'Takeout', 'Dine-in']",-80.0197731,40.393386899999996,brookline
6,Tong Garden,ChIJn-G15zD3NIgRr6pChHoTvvg,0x8834f730e7b5e19f:0xf8be137a8442aaaf,https://lh5.googleusercontent.com/p/AF1QipObVxBQklTNZ1JQtKj0WL-KqtmOoyHBjw5R5VZa=w122-h92-k-no,(412) 563-3228,"956 Brookline Blvd, Pittsburgh, PA 15226",https://tonggardenpittsburgh.com/,,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '12–8:30\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '12–8:30\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '12–8:30\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': 'Closed', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '12–8:30\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '12–8:30\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '12–8:30\u202fPM', 'date': '2023-10-18'}]}",4.2,120.0,Chinese restaurant,"{'latitude': 40.3918357, 'longitude': -80.0176506}","['Delivery', 'Takeout', 'Dine-in']",-80.0176506,40.3918357,brookline
7,Red's Good News,ChIJN9g5hJD3NIgRm8p2iVXJlfo,0x8834f7908439d837:0xfa95c9558976ca9b,https://lh5.googleusercontent.com/p/AF1QipN4CFCodDfcao0mMT6nro0vK4MoSjTebM8UwF7l=w122-h92-k-no,(412) 502-6197,"542 Brookline Blvd, Pittsburgh, PA 15226",https://redsgoodnews.business.site/,,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '4\u202fPM–12\u202fAM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '4\u202fPM–12\u202fAM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '4\u202fPM–12\u202fAM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': 'Closed', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '4\u202fPM–12\u202fAM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '4\u202fPM–12\u202fAM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '4\u202fPM–12\u202fAM', 'date': '2023-10-18'}]}",4.8,171.0,Bar,"{'latitude': 40.395378699999995, 'longitude': -80.0225804}","['Outdoor seating', 'Takeout', 'Dine-in', 'Delivery']",-80.0225804,40.395378699999995,brookline
8,No Name Cafe,ChIJ1ap81jr3NIgRcMa0_B2Xiks,0x8834f73ad67caad5:0x4b8a971dfcb4c670,https://lh5.googleusercontent.com/p/AF1QipP9VwvpIF_SsxW-Uwum6MaZ-xM5ZLsRBursI82v=w122-h92-k-no,(412) 563-1813,"536 Brookline Blvd, Pittsburgh, PA 15226",https://website-7148350523599440515188-cafe.business.site/,,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': 'Closed', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '9\u202fAM–3\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '9\u202fAM–3\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '8\u202fAM–2\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '9\u202fAM–2\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '9\u202fAM–2\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': 'Closed', 'date': '2023-10-18'}]}",4.1,35.0,Cafe,"{'latitude': 40.395423799999996, 'longitude': -80.02264679999999}",['Identifies as women-owned'],-80.02264679999999,40.395423799999996,brookline
9,Antonio's Pizzeria,ChIJv_rbhDr3NIgRUBkvX7v9iiY,0x8834f73a84dbfabf:0x268afdbb5f2f1950,https://lh5.googleusercontent.com/p/AF1QipNgOHUXvQHmJCbn3gJlJ1QZgaQSKjKE3YpVoIgb=w92-h92-k-no,(412) 388-1000,"758 Brookline Blvd, Pittsburgh, PA 15226",https://antoniospizzeria.hungerrush.com/,"Low-key joint for pies, hoagies & wings. Classic pies, salads, hoagies & wings, plus other pizzeria staples, fixed up in easygoing digs.","{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '11\u202fAM–10\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '11\u202fAM–11\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '11\u202fAM–11\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '12–10\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '11\u202fAM–10\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '11\u202fAM–10\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '11\u202fAM–10\u202fPM', 'date': '2023-10-18'}]}",4.4,246.0,Pizza restaurant,"{'latitude': 40.3936385, 'longitude': -80.0201379}",['Identifies as women-owned'],-80.0201379,40.3936385,brookline
10,The Kickstand Sandwich Shop,ChIJM0mc_tX3NIgRt5RrS_GeFIY,0x8834f7d5fe9c4933:0x86149ef14b6b94b7,https://lh5.googleusercontent.com/p/AF1QipNi84ItwXeIFj44vicns_HNTLW6bd7gwQpKBuy1=w163-h92-k-no,(412) 207-2843,"936 Brookline Blvd, Pittsburgh, PA 15226",https://www.kickstandsandwich.com/,,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '11\u202fAM–8\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '11\u202fAM–10\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '11\u202fAM–10\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': 'Closed', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '11\u202fAM–6\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '11\u202fAM–6\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '11\u202fAM–8\u202fPM', 'date': '2023-10-18'}]}",4.5,125.0,Sandwich shop,"{'latitude': 40.3922271, 'longitude': -80.01818159999999}","['Delivery', 'Takeout', 'Dine-in']",-80.01818159999999,40.3922271,brookline
11,Fiori's Pizzaria,ChIJ4122GCj3NIgR4EygOp9VQyw,0x8834f72818b65de3:0x2c43559f3aa04ce0,https://lh5.googleusercontent.com/p/AF1QipPgglifA7hjWurUikE3K6HSOPoGpARELzujSS2_=w80-h106-k-no,(412) 343-7788,"103 Capital Ave, Pittsburgh, PA 15226",http://fiorispizzaria.com/,"Basic spot for slices, pies & calzones. Casual pizzeria offering pizzas, hoagies, wings, calzones & pasta, plus take-out.","{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '11\u202fAM–1\u202fAM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '11\u202fAM–1\u202fAM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '11\u202fAM–1\u202fAM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '11\u202fAM–1\u202fAM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '11\u202fAM–1\u202fAM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '11\u202fAM–1\u202fAM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '11\u202fAM–1\u202fAM', 'date': '2023-10-18'}]}",4.7,3344.0,Pizza Takeout,"{'latitude': 40.4051803, 'longitude': -80.0185759}","['Takeout', 'Dine-in', 'Delivery']",-80.0185759,40.4051803,brookline
12,Fox's Pizza Den of Brookline,ChIJD-2ViDD3NIgRYov1UwTv3rg,0x8834f7308895ed0f:0xb8deef0453f58b62,https://lh5.googleusercontent.com/p/AF1QipNOf6JlJpz2x1VPbis2DRyhp2FuI0FXGnFb1df5=w122-h92-k-no,(412) 892-9130,"902 Brookline Blvd, Pittsburgh, PA 15226",https://foxspizza.arrowpos.com/brookline,"Easygoing pizzeria with sandwiches. Laid-back chain serving specialty pizzas in varied sizes, plus sandwiches, salads & sides.","{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '10:30\u202fAM–9\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '10:30\u202fAM–9\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '10:30\u202fAM–9\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '12–8\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '10:30\u202fAM–9\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': 'Closed', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '10:30\u202fAM–9\u202fPM', 'date': '2023-10-18'}]}",4.5,184.0,Pizza restaurant,"{'latitude': 40.392821, 'longitude': -80.019119}",['Identifies as women-owned'],-80.019119,40.392821,brookline
13,Brookline Pub and Pizza,ChIJIyTo2K_3NIgR2fzO6QH5AIQ,0x8834f7afd8e82423:0x8400f901e9cefcd9,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zLsf3thwyhI9ikzn46OKyg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=242.58194&pitch=0&thumbfov=100,(412) 356-2345,"734 Brookline Blvd, Pittsburgh, PA 15226",undefined,,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '4\u202fPM–1\u202fAM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '4\u202fPM–2\u202fAM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '4\u202fPM–2\u202fAM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '4\u202fPM–12\u202fAM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '4\u202fPM–1\u202fAM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '4\u202fPM–1\u202fAM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '4\u202fPM–1\u202fAM', 'date': '2023-10-18'}]}",5.0,3.0,Bar,"{'latitude': 40.3939045, 'longitude': -80.0208074}","['Curbside pickup', 'Takeout', 'Dine-in', 'Delivery']",-80.0208074,40.3939045,brookline
14,Marisquería Insomnia,ChIJQ9yvbpX3NIgRc042Rjs7NTk,0x8834f7956eafdc43:0x39353b3b46364e73,https://lh5.googleusercontent.com/p/AF1QipP1fgkXq3oJiBjKvI5L7I8Q6o_tg3sSBj97bFIq=w122-h92-k-no,(412) 927-7802,"810 Brookline Blvd, Pittsburgh, PA 15226",undefined,,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '11\u202fAM–10\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '11\u202fAM–10\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '11\u202fAM–10\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '11\u202fAM–10\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '11\u202fAM–10\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '11\u202fAM–10\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '11\u202fAM–10\u202fPM', 'date': '2023-10-18'}]}",2.7,14.0,Restaurant,"{'latitude': 40.3932952, 'longitude': -80.0198669}","['Delivery', 'Takeout', 'Dine-in']",-80.0198669,40.3932952,brookline
15,Big Shot Bob's House of Wings - Beechview,ChIJA05yFiD3NIgRgQjy44EeirI,0x8834f72016724e03:0xb28a1e81e3f20881,https://lh5.googleusercontent.com/p/AF1QipMOJ7aOzbPubrdag6SAGTvsBz0Z6q0ZGUneKYY-=w163-h92-k-no,(412) 343-7468,"109 Brookline Blvd, Pittsburgh, PA 15226",http://www.bigshotbobs.com/,,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '11\u202fAM–10\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '11\u202fAM–11\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '11\u202fAM–11\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '12–9\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '11\u202fAM–10\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '11\u202fAM–10\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '11\u202fAM–10\u202fPM', 'date': '2023-10-18'}]}",4.3,300.0,Chicken wings restaurant,"{'latitude': 40.397939199999996, 'longitude': -80.02619059999999}","['No-contact delivery', 'Delivery', 'Takeout', 'Dine-in']",-80.02619059999999,40.397939199999996,brookline
16,Vinny's Pizza,ChIJXYG7tf73NIgRy-hEEhs2izg,0x8834f7feb5bb815d:0x388b361b1244e8cb,https://lh5.googleusercontent.com/p/AF1QipM9yEG2z_obfn4ZIvKeB1-bbS_GQlx3ImwhzBNK=w80-h106-k-no,(412) 344-8500,"618 Brookline Blvd Apartment 2, Pittsburgh, PA 15226",http://vinnysbrookline.com/,,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '11\u202fAM–12\u202fAM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '11\u202fAM–2\u202fAM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '11\u202fAM–2\u202fAM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '11\u202fAM–12\u202fAM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '11\u202fAM–12\u202fAM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '11\u202fAM–12\u202fAM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '11\u202fAM–12\u202fAM', 'date': '2023-10-18'}]}",3.2,89.0,Pizza restaurant,"{'latitude': 40.3952361, 'longitude': -80.0224238}","['Curbside pickup', 'No-contact delivery', 'Delivery', 'Takeout', 'Dine-in']",-80.0224238,40.3952361,brookline
17,Amel's Restaurant,ChIJgwGoTkr3NIgRieT0XxmhOdg,0x8834f74a4ea80183:0xd839a1195ff4e489,https://lh5.googleusercontent.com/p/AF1QipP1kWwO_iKlndEJ67AbJqQQXKMzLZeBgl32W0AU=w163-h92-k-no,(412) 563-3466,"435 McNeilly Rd, Pittsburgh, PA 15226",http://www.amelsrestaurantpgh.com/,Mediterranean spot with patio seats. Homey Mediterranean & Middle Eastern eatery with a large menu of entrees & sandwiches plus a patio.,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '12–10\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '12–11\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '12–11\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '12–10\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '12–10\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '12–10\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '12–10\u202fPM', 'date': '2023-10-18'}]}",4.5,898.0,Mediterranean restaurant,"{'latitude': 40.383004899999996, 'longitude': -80.0155667}","['Outdoor seating', 'Delivery', 'Takeout', 'Dine-in']",-80.0155667,40.383004899999996,brookline
18,Insomnia Discotec,ChIJofC1eTD3NIgRdfPYN3H9CxI,0x8834f73079b5f0a1:0x120bfd7137d8f375,https://lh5.googleusercontent.com/p/AF1QipNZ3GmpJ96dL1bLJHb3klBaykMjEtGGaz6DgUbU=w163-h92-k-no,(412) 343-7827,"810 Brookline Blvd, Pittsburgh, PA 15226",undefined,,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '11\u202fAM–9\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '11\u202fAM–10\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '11\u202fAM–10\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '11\u202fAM–9\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '11\u202fAM–9\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '11\u202fAM–9\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '11\u202fAM–9\u202fPM', 'date': '2023-10-18'}]}",3.9,178.0,Restaurant,"{'latitude': 40.393386899999996, 'longitude': -80.0197731}","['Curbside pickup', 'Delivery', 'Takeout', 'Dine-in']",-80.0197731,40.393386899999996,brookline
19,The Getaway Bar & Grill,ChIJ372m50n3NIgRuWmkHtmdL3E,0x8834f749e7a6bddf:0x712f9dd91ea469b9,https://lh5.googleusercontent.com/p/AF1QipPs5zmW-U4SJfcIdNieFmar_F21VUGRfQHFkyXb=w122-h92-k-no,(412) 343-1333,"3049 Sussex Ave, Pittsburgh, PA 15226",https://thegetawaypgh.com/,Comfy American eatery with a full bar. Homey neighborhood bar & eatery with a warm atmosphere for American mains & cocktails.,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '11\u202fAM–2\u202fAM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '11\u202fAM–2\u202fAM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '11\u202fAM–2\u202fAM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '11\u202fAM–2\u202fAM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '11\u202fAM–2\u202fAM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '11\u202fAM–2\u202fAM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '11\u202fAM–2\u202fAM', 'date': '2023-10-18'}]}",4.3,389.0,Bar & grill,"{'latitude': 40.3844833, 'longitude': -80.0157699}","['Outdoor seating', 'Delivery', 'Takeout', 'Dine-in']",-80.0157699,40.3844833,brookline
20,Las Palmas Pittsburgh #1,ChIJ9X4UwTr3NIgRvcIUkP2SQ6Q,0x8834f73ac1147ef5:0xa44392fd9014c2bd,https://lh5.googleusercontent.com/p/AF1QipMW34tsGh62DkV64OOtF-78ETkYb2cPuVPkbgA=w122-h92-k-no,(412) 344-1131,"700 Brookline Blvd, Pittsburgh, PA 15226",undefined,,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '9\u202fAM–9\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '9\u202fAM–9\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '9\u202fAM–9\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '9\u202fAM–9\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '9\u202fAM–9\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '9\u202fAM–9\u202fPM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '9\u202fAM–9\u202fPM', 'date': '2023-10-18'}]}",4.5,1420.0,Mexican grocery store,"{'latitude': 40.3946018, 'longitude': -80.02171849999999}","['In-store shopping', 'Delivery']",-80.02171849999999,40.3946018,brookline
1,The Vandal,ChIJdfRhi03yNIgRi_2aR5XCEWU,0x8834f24d8b61f475:0x6511c295479afd8b,https://lh5.googleusercontent.com/p/AF1QipMg3_m8Rhy11JQe4j30zYoyQQeZh5pI_T_5s-RF=w163-h92-k-no,(412) 251-0465,"4306 Butler St, Pittsburgh, PA 15201",http://www.thevandalpgh.com/,"Bright cafe for coffee & small plates. Eastern European small plates plus coffee, breakfast & breads in a light-filled, cheerful space.","{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '5–9\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '5–10\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '5–10\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '5–9\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': 'Closed', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': 'Closed', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '5–9\u202fPM', 'date': '2023-10-18'}]}",4.5,388.0,New American restaurant,"{'latitude': 40.4708202, 'longitude': -79.960028}","['Outdoor seating', 'Takeout', 'Dine-in', 'Delivery']",-79.960028,40.4708202,lawrenceville
2,SMOKE,ChIJC93yEiXuNIgRUWEZNBBXrYM,0x8834ee2512f2dd0b:0x83ad571034196151,https://lh5.googleusercontent.com/p/AF1QipPan8hrSYEz8u4kj2y6z96W7kSMaJP43LdHzEB5=w80-h106-k-no,(412) 852-2726,"4115 Butler St, Pittsburgh, PA 15201",http://smokepgh.com/,Informal pick for Mexican-style BBQ. Compact destination with a simple design specializing in tacos filled with BBQ meats.,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '3–9\u202fPM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '3–10\u202fPM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '12–10\u202fPM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '10\u202fAM–7\u202fPM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '3–9\u202fPM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': 'Closed', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': 'Closed', 'date': '2023-10-18'}]}",4.3,936.0,Taco restaurant,"{'latitude': 40.4699387, 'longitude': -79.9610646}","['Delivery', 'Takeout', 'Dine-in']",-79.9610646,40.4699387,lawrenceville
3,Industry Public House,ChIJv6siiU3yNIgRY1K4PUwSTvY,0x8834f24d8922abbf:0xf64e124c3db85263,https://lh5.googleusercontent.com/p/AF1QipNuLegqaVeUyRf1EcU9vwEmqurUFk2EW1aWQNWu=w122-h92-k-no,(412) 683-1100,"4305 Butler St, Pittsburgh, PA 15201",http://industrypgh.com/,Gourmet burgers & beer plus hip decor. Elevated comfort food & craft beers star at this brick-walled restaurant with industrial accents.,"{'timezone': 'America/New_York', 'days': [{'day': 'Thursday', 'time': '11\u202fAM–2\u202fAM', 'date': '2023-10-12'}, {'day': 'Friday', 'time': '11\u202fAM–2\u202fAM', 'date': '2023-10-13'}, {'day': 'Saturday', 'time': '11\u202fAM–2\u202fAM', 'date': '2023-10-14'}, {'day': 'Sunday', 'time': '11\u202fAM–2\u202fAM', 'date': '2023-10-15'}, {'day': 'Monday', 'time': '11\u202fAM–2\u202fAM', 'date': '2023-10-16'}, {'day': 'Tuesday', 'time': '11\u202fAM–2\u202fAM', 'date': '2023-10-17'}, {'day': 'Wednesday', 'time': '11\u202fAM–2\u202fAM', 'date': '2023-10-18'}]}",4.1,1317.0,American restaurant,"{'latitude': 40.470922, 'longitude': -79.960374}","['Identifies as veteran-owned', 'Identifies as women-owned']",-79.960374,40.470922,lawrenceville
